SUBGRP_ID	SUBGRP_NAME	EFF_DT	TERM_DT	GROUP_ID
1	WORKERS	1/1/2014	12/31/2014	12345
2	ASSOCIATES	1/1/2014	12/31/2014	12345
3	MANAGERS	1/1/2014	12/31/2014	12345
4	HRS	1/1/2014	12/31/2014	12345
5	DIRECTORS	1/1/2014	12/31/2014	12345
6	ADMINS	1/1/2014	12/31/2014	12345
7	SECURITY	1/1/2014	12/31/2014	12345
1	WORKERS	9/1/2013	12/31/2015	12346
2	ASSOCIATES	9/1/2013	12/31/2015	12346
3	MANAGERS	9/1/2013	12/31/2015	12346
4	HRS	9/1/2013	12/31/2015	12346
5	DIRECTORS	9/1/2013	12/31/2013	12345
6	ADMINS	9/1/2013	12/31/2013	12345
7	SECURITY	9/1/2013	12/31/2015	12346
1	WORKERS	6/1/2013	12/31/2013	12345
2	ASSOCIATES	6/1/2013	12/31/2016	12347
3	MANAGERS	6/1/2013	12/31/2016	12347
4	HRS	6/1/2013	12/31/2016	12347
5	DIRECTORS	6/1/2013	12/31/2016	12347
6	ADMINS	6/1/2013	12/31/2016	12347
7	SECURITY	6/1/2013	12/31/2013	12345
1	WORKERS	3/1/2013	12/31/2017	12348
2	ASSOCIATES	3/1/2013	12/31/2017	12348
3	MANAGERS	3/1/2013	12/31/2017	12348
4	HRS	3/1/2013	12/31/2017	12348
5	DIRECTORS	3/1/2013	12/31/2017	12348
6	ADMINS	3/1/2013	12/31/2013	12348
7	SECURITY	3/1/2013	12/31/2017	12348
1	WORKERS	12/1/2012	12/31/2014	12349
2	ASSOCIATES	12/1/2012	12/31/2014	12349
3	MANAGERS	12/1/2012	12/31/2014	12349
4	HRS	12/1/2012	12/31/2014	12349
5	DIRECTORS	12/1/2012	12/31/2012	12349
6	ADMINS	12/1/2012	12/31/2014	12349
7	SECURITY	12/1/2012	12/31/2014	12349
1	WORKERS	9/1/2012	12/31/2015	12350
2	ASSOCIATES	9/1/2012	12/31/2015	12350
3	MANAGERS	9/1/2012	12/31/2015	12350
4	HRS	9/1/2012	12/31/2012	12349
5	DIRECTORS	9/1/2012	12/31/2015	12361
6	ADMINS	9/1/2012	12/31/2015	12350
7	SECURITY	9/1/2012	12/31/2015	12350
1	WORKERS	6/1/2012	12/31/2016	12351
2	ASSOCIATES	6/1/2012	12/31/2016	12351
3	MANAGERS	6/1/2012	12/31/2016	12351
4	HRS	6/1/2012	12/31/2016	12351
5	DIRECTORS	6/1/2012	12/31/2016	12351
7	SECURITY	6/1/2012	12/31/2016	12351
1	WORKERS	3/1/2012	12/31/2017	12352
2	ASSOCIATES	3/1/2012	12/31/2017	12352
3	MANAGERS	3/1/2012	12/31/2017	12352
4	HRS	3/1/2012	12/31/2017	12352
5	DIRECTORS	3/1/2012	12/31/2011	12352
6	ADMINS	3/1/2012	12/31/2017	12352
7	SECURITY	3/1/2012	12/31/2017	12352
1	WORKERS	12/1/2011	12/31/2014	12353
2	ASSOCIATES	12/1/2011	12/31/2014	12353
3	MANAGERS	12/1/2011	12/31/2014	12353
4	HRS	12/1/2011	12/31/2014	12353
5	DIRECTORS	12/1/2011	12/31/2011	12353
6	ADMINS	12/1/2011	12/31/2014	12353
7	SECURITY	12/1/2011	12/31/2014	12353
1	WORKERS	9/1/2011	12/31/2015	12354
2	ASSOCIATES	9/1/2011	12/31/2015	12361
